,test,alg,acc,mcc,kap,auc,geo,iba,TN,FP,FN,TP,pr,re,f1,sp,pca,poly,ksel,exs,feats,tvars,imb,time
0,1,0,0.691,0.151,0.045,0.844,0.83,0.71,256,116,0,4,0.99,0.69,0.81,376,0,0,0,1252,222,13,0,35.1
1,1,1,0.737,0.056,0.019,0.62,0.608,0.361,275,97,2,2,0.98,0.74,0.84,376,0,0,0,1252,222,13,0,35.1
2,1,2,0.973,0.013,0.013,0.492,0.0,0.0,366,6,4,0,0.98,0.97,0.98,376,0,0,0,1252,222,13,0,35.1
3,1,3,0.936,0.185,0.127,0.72,0.686,0.45,350,22,2,2,0.98,0.94,0.96,376,0,0,0,1252,222,13,0,35.1
4,1,4,0.989,0.0,0.0,0.5,0.0,0.0,372,0,4,0,0.98,0.99,0.98,376,0,0,0,1252,222,13,0,35.1
5,1,5,0.989,0.349,0.329,0.624,0.499,0.231,371,1,3,1,0.99,0.99,0.99,376,0,0,0,1252,222,13,0,35.1
6,1,6,0.987,0.005,0.004,0.499,0.0,0.0,371,1,4,0,0.98,0.99,0.98,376,0,0,0,1252,222,13,0,35.1
7,1,7,0.412,0.085,0.014,0.703,0.637,0.43,151,221,0,4,0.99,0.41,0.57,376,0,0,0,1252,222,13,0,35.1
8,1,8,0.989,0.0,0.0,0.5,0.0,0.0,372,0,4,0,0.98,0.99,0.98,376,0,0,0,1252,222,13,0,35.1
9,1,9,0.989,0.0,0.0,0.5,0.0,0.0,372,0,4,0,0.98,0.99,0.98,376,0,0,0,1252,222,13,0,35.1
10,2,0,0.739,0.17,0.056,0.868,0.858,0.756,274,98,0,4,0.99,0.74,0.84,376,0,0,0,1252,222,13,1,98.86
11,2,1,0.96,0.018,0.016,0.485,0.0,0.0,361,11,4,0,0.98,0.96,0.97,376,0,0,0,1252,222,13,1,98.86
12,2,2,0.968,0.015,0.014,0.489,0.0,0.0,364,8,4,0,0.98,0.97,0.97,376,0,0,0,1252,222,13,1,98.86
13,2,3,0.989,0.0,0.0,0.5,0.0,0.0,372,0,4,0,0.98,0.99,0.98,376,0,0,0,1252,222,13,1,98.86
14,2,4,0.989,0.0,0.0,0.5,0.0,0.0,372,0,4,0,0.98,0.99,0.98,376,0,0,0,1252,222,13,1,98.86
15,2,5,0.981,0.214,0.213,0.62,0.497,0.229,368,4,3,1,0.98,0.98,0.98,376,0,0,0,1252,222,13,1,98.86
16,2,6,0.987,0.005,0.004,0.499,0.0,0.0,371,1,4,0,0.98,0.99,0.98,376,0,0,0,1252,222,13,1,98.86
17,2,7,0.989,0.0,0.0,0.5,0.0,0.0,372,0,4,0,0.98,0.99,0.98,376,0,0,0,1252,222,13,1,98.86
18,2,8,0.981,0.009,0.009,0.496,0.0,0.0,369,3,4,0,0.98,0.98,0.98,376,0,0,0,1252,222,13,1,98.86
19,2,9,0.944,0.094,0.071,0.601,0.488,0.221,354,18,3,1,0.98,0.94,0.96,376,0,0,0,1252,222,13,1,98.86
20,3,0,0.731,0.167,0.054,0.864,0.854,0.748,271,101,0,4,0.99,0.73,0.83,376,0,0,0,1252,222,13,1,96.09
21,3,1,0.96,0.018,0.016,0.485,0.0,0.0,361,11,4,0,0.98,0.96,0.97,376,0,0,0,1252,222,13,1,96.09
22,3,2,0.957,0.019,0.016,0.484,0.0,0.0,360,12,4,0,0.98,0.96,0.97,376,0,0,0,1252,222,13,1,96.09
23,3,3,0.989,0.0,0.0,0.5,0.0,0.0,372,0,4,0,0.98,0.99,0.98,376,0,0,0,1252,222,13,1,96.09
24,3,4,0.989,0.0,0.0,0.5,0.0,0.0,372,0,4,0,0.98,0.99,0.98,376,0,0,0,1252,222,13,1,96.09
25,3,5,0.976,0.178,0.171,0.617,0.496,0.228,366,6,3,1,0.98,0.98,0.98,376,0,0,0,1252,222,13,1,96.09
26,3,6,0.989,0.0,0.0,0.5,0.0,0.0,372,0,4,0,0.98,0.99,0.98,376,0,0,0,1252,222,13,1,96.09
27,3,7,0.989,0.0,0.0,0.5,0.0,0.0,372,0,4,0,0.98,0.99,0.98,376,0,0,0,1252,222,13,1,96.09
28,3,8,0.976,0.012,0.012,0.493,0.0,0.0,367,5,4,0,0.98,0.98,0.98,376,0,0,0,1252,222,13,1,96.09
29,3,9,0.947,0.098,0.075,0.602,0.488,0.222,355,17,3,1,0.98,0.95,0.96,376,0,0,0,1252,222,13,1,96.09
30,4,0,0.689,0.151,0.044,0.843,0.828,0.707,255,117,0,4,0.99,0.69,0.81,376,0,0,0,1252,222,13,2,15.7
31,4,1,0.505,0.103,0.021,0.75,0.707,0.525,186,186,0,4,0.99,0.51,0.66,376,0,0,0,1252,222,13,2,15.7
32,4,2,0.588,0.07,0.017,0.668,0.663,0.447,218,154,1,3,0.99,0.59,0.73,376,0,0,0,1252,222,13,2,15.7
33,4,3,0.54,0.11,0.024,0.767,0.731,0.56,199,173,0,4,0.99,0.54,0.69,376,0,0,0,1252,222,13,2,15.7
34,4,4,0.609,0.127,0.032,0.802,0.778,0.629,225,147,0,4,0.99,0.61,0.75,376,0,0,0,1252,222,13,2,15.7
35,4,5,0.886,0.126,0.067,0.695,0.667,0.428,331,41,2,2,0.98,0.89,0.93,376,0,0,0,1252,222,13,2,15.7
36,4,6,0.609,0.127,0.032,0.802,0.778,0.629,225,147,0,4,0.99,0.61,0.75,376,0,0,0,1252,222,13,2,15.7
37,4,7,0.633,0.081,0.021,0.691,0.688,0.479,235,137,1,3,0.99,0.63,0.77,376,0,0,0,1252,222,13,2,15.7
38,4,8,0.662,0.036,0.01,0.582,0.576,0.327,247,125,2,2,0.98,0.66,0.79,376,0,0,0,1252,222,13,2,15.7
39,4,9,0.803,0.05,0.021,0.406,0.0,0.0,302,70,4,0,0.98,0.8,0.88,376,0,0,0,1252,222,13,2,15.7
40,5,0,0.691,0.151,0.045,0.844,0.83,0.71,256,116,0,4,0.99,0.69,0.81,376,0,0,0,1252,222,13,0,34.91
41,5,1,0.745,0.116,0.039,0.747,0.747,0.559,277,95,1,3,0.99,0.74,0.84,376,0,0,0,1252,222,13,0,34.91
42,5,2,0.715,0.064,0.021,0.362,0.0,0.0,269,103,4,0,0.97,0.72,0.83,376,0,0,0,1252,222,13,0,34.91
43,5,3,0.944,0.201,0.145,0.724,0.689,0.453,353,19,2,2,0.98,0.94,0.96,376,0,0,0,1252,222,13,0,34.91
44,5,4,0.989,0.0,0.0,0.5,0.0,0.0,372,0,4,0,0.98,0.99,0.98,376,0,0,0,1252,222,13,0,34.91
45,5,5,0.987,0.005,0.004,0.499,0.0,0.0,371,1,4,0,0.98,0.99,0.98,376,0,0,0,1252,222,13,0,34.91
46,5,6,0.987,0.005,0.004,0.499,0.0,0.0,371,1,4,0,0.98,0.99,0.98,376,0,0,0,1252,222,13,0,34.91
47,5,7,0.412,0.085,0.014,0.703,0.637,0.43,151,221,0,4,0.99,0.41,0.57,376,0,0,0,1252,222,13,0,34.91
48,5,8,0.989,0.0,0.0,0.5,0.0,0.0,372,0,4,0,0.98,0.99,0.98,376,0,0,0,1252,222,13,0,34.91
49,5,9,0.989,0.0,0.0,0.5,0.0,0.0,372,0,4,0,0.98,0.99,0.98,376,0,0,0,1252,222,13,0,34.91
50,6,0,0.715,0.16,0.05,0.856,0.844,0.733,265,107,0,4,0.99,0.72,0.82,376,0,0,40,1252,222,13,1,39.4
51,6,1,0.91,0.031,0.019,0.46,0.0,0.0,342,30,4,0,0.98,0.91,0.94,376,0,0,40,1252,222,13,1,39.4
52,6,2,0.949,0.021,0.017,0.48,0.0,0.0,357,15,4,0,0.98,0.95,0.96,376,0,0,40,1252,222,13,1,39.4
53,6,3,0.989,0.0,0.0,0.5,0.0,0.0,372,0,4,0,0.98,0.99,0.98,376,0,0,40,1252,222,13,1,39.4
54,6,4,0.981,0.009,0.009,0.496,0.0,0.0,369,3,4,0,0.98,0.98,0.98,376,0,0,40,1252,222,13,1,39.4
55,6,5,0.979,0.011,0.011,0.495,0.0,0.0,368,4,4,0,0.98,0.98,0.98,376,0,0,40,1252,222,13,1,39.4
56,6,6,0.989,0.0,0.0,0.5,0.0,0.0,372,0,4,0,0.98,0.99,0.98,376,0,0,40,1252,222,13,1,39.4
57,6,7,0.989,0.0,0.0,0.5,0.0,0.0,372,0,4,0,0.98,0.99,0.98,376,0,0,40,1252,222,13,1,39.4
58,6,8,0.968,0.144,0.13,0.613,0.494,0.226,363,9,3,1,0.98,0.97,0.97,376,0,0,40,1252,222,13,1,39.4
59,6,9,0.957,0.019,0.016,0.484,0.0,0.0,360,12,4,0,0.98,0.96,0.97,376,0,0,40,1252,222,13,1,39.4
60,7,0,0.723,0.163,0.052,0.86,0.849,0.741,268,104,0,4,0.99,0.72,0.83,376,0,0,40,1252,222,13,1,37.55
61,7,1,0.926,0.027,0.019,0.468,0.0,0.0,348,24,4,0,0.98,0.93,0.95,376,0,0,40,1252,222,13,1,37.55
62,7,2,0.926,0.027,0.019,0.468,0.0,0.0,348,24,4,0,0.98,0.93,0.95,376,0,0,40,1252,222,13,1,37.55
63,7,3,0.989,0.0,0.0,0.5,0.0,0.0,372,0,4,0,0.98,0.99,0.98,376,0,0,40,1252,222,13,1,37.55
64,7,4,0.981,0.009,0.009,0.496,0.0,0.0,369,3,4,0,0.98,0.98,0.98,376,0,0,40,1252,222,13,1,37.55
65,7,5,0.976,0.012,0.012,0.493,0.0,0.0,367,5,4,0,0.98,0.98,0.98,376,0,0,40,1252,222,13,1,37.55
66,7,6,0.989,0.0,0.0,0.5,0.0,0.0,372,0,4,0,0.98,0.99,0.98,376,0,0,40,1252,222,13,1,37.55
67,7,7,0.989,0.0,0.0,0.5,0.0,0.0,372,0,4,0,0.98,0.99,0.98,376,0,0,40,1252,222,13,1,37.55
68,7,8,0.976,0.012,0.012,0.493,0.0,0.0,367,5,4,0,0.98,0.98,0.98,376,0,0,40,1252,222,13,1,37.55
69,7,9,0.957,0.117,0.096,0.608,0.491,0.224,359,13,3,1,0.98,0.96,0.97,376,0,0,40,1252,222,13,1,37.55
70,8,0,0.676,0.146,0.042,0.836,0.82,0.694,250,122,0,4,0.99,0.68,0.8,376,0,0,40,1252,222,13,2,14.28
71,8,1,0.745,0.058,0.02,0.624,0.611,0.364,278,94,2,2,0.98,0.74,0.84,376,0,0,40,1252,222,13,2,14.28
72,8,2,0.487,0.099,0.019,0.741,0.694,0.506,179,193,0,4,0.99,0.49,0.64,376,0,0,40,1252,222,13,2,14.28
73,8,3,0.577,0.119,0.028,0.786,0.757,0.597,213,159,0,4,0.99,0.58,0.72,376,0,0,40,1252,222,13,2,14.28
74,8,4,0.609,0.127,0.032,0.802,0.778,0.629,225,147,0,4,0.99,0.61,0.75,376,0,0,40,1252,222,13,2,14.28
75,8,5,0.79,0.135,0.051,0.77,0.77,0.59,294,78,1,3,0.99,0.79,0.87,376,0,0,40,1252,222,13,2,14.28
76,8,6,0.609,0.127,0.032,0.802,0.778,0.629,225,147,0,4,0.99,0.61,0.75,376,0,0,40,1252,222,13,2,14.28
77,8,7,0.351,0.074,0.011,0.672,0.587,0.367,128,244,0,4,0.99,0.35,0.51,376,0,0,40,1252,222,13,2,14.28
78,8,8,0.524,0.106,0.022,0.759,0.72,0.544,193,179,0,4,0.99,0.52,0.68,376,0,0,40,1252,222,13,2,14.28
79,8,9,0.766,0.005,0.002,0.511,0.439,0.183,287,85,3,1,0.98,0.77,0.86,376,0,0,40,1252,222,13,2,14.28
80,9,0,0.71,0.158,0.049,0.853,0.841,0.728,263,109,0,4,0.99,0.71,0.82,376,0,0,40,1252,222,13,0,20.47
81,9,1,0.561,0.115,0.026,0.778,0.746,0.581,207,165,0,4,0.99,0.56,0.71,376,0,0,40,1252,222,13,0,20.47
82,9,2,0.5,0.102,0.02,0.747,0.703,0.52,184,188,0,4,0.99,0.5,0.66,376,0,0,40,1252,222,13,0,20.47
83,9,3,0.88,0.268,0.134,0.94,0.938,0.89,327,45,0,4,0.99,0.88,0.93,376,0,0,40,1252,222,13,0,20.47
84,9,4,0.989,0.0,0.0,0.5,0.0,0.0,372,0,4,0,0.98,0.99,0.98,376,0,0,40,1252,222,13,0,20.47
85,9,5,0.987,0.005,0.004,0.499,0.0,0.0,371,1,4,0,0.98,0.99,0.98,376,0,0,40,1252,222,13,0,20.47
86,9,6,0.979,0.194,0.19,0.618,0.497,0.228,367,5,3,1,0.98,0.98,0.98,376,0,0,40,1252,222,13,0,20.47
87,9,7,0.593,0.122,0.03,0.794,0.767,0.613,219,153,0,4,0.99,0.59,0.73,376,0,0,40,1252,222,13,0,20.47
88,9,8,0.989,0.0,0.0,0.5,0.0,0.0,372,0,4,0,0.98,0.99,0.98,376,0,0,40,1252,222,13,0,20.47
89,9,9,0.989,0.0,0.0,0.5,0.0,0.0,372,0,4,0,0.98,0.99,0.98,376,0,0,40,1252,222,13,0,20.47
90,10,0,0.707,0.157,0.048,0.852,0.839,0.725,262,110,0,4,0.99,0.71,0.82,376,0,0,80,1252,222,13,1,53.73
91,10,1,0.955,0.02,0.017,0.483,0.0,0.0,359,13,4,0,0.98,0.95,0.97,376,0,0,80,1252,222,13,1,53.73
92,10,2,0.949,0.021,0.017,0.48,0.0,0.0,357,15,4,0,0.98,0.95,0.96,376,0,0,80,1252,222,13,1,53.73
93,10,3,0.987,0.005,0.004,0.499,0.0,0.0,371,1,4,0,0.98,0.99,0.98,376,0,0,80,1252,222,13,1,53.73
94,10,4,0.989,0.349,0.329,0.624,0.499,0.231,371,1,3,1,0.99,0.99,0.99,376,0,0,80,1252,222,13,1,53.73
95,10,5,0.984,0.008,0.007,0.497,0.0,0.0,370,2,4,0,0.98,0.98,0.98,376,0,0,80,1252,222,13,1,53.73
96,10,6,0.987,0.005,0.004,0.499,0.0,0.0,371,1,4,0,0.98,0.99,0.98,376,0,0,80,1252,222,13,1,53.73
97,10,7,0.987,0.005,0.004,0.499,0.0,0.0,371,1,4,0,0.98,0.99,0.98,376,0,0,80,1252,222,13,1,53.73
98,10,8,0.981,0.009,0.009,0.496,0.0,0.0,369,3,4,0,0.98,0.98,0.98,376,0,0,80,1252,222,13,1,53.73
99,10,9,0.952,0.02,0.017,0.481,0.0,0.0,358,14,4,0,0.98,0.95,0.97,376,0,0,80,1252,222,13,1,53.73
100,11,0,0.707,0.157,0.048,0.852,0.839,0.725,262,110,0,4,0.99,0.71,0.82,376,0,0,80,1252,222,13,1,48.47
101,11,1,0.941,0.023,0.018,0.476,0.0,0.0,354,18,4,0,0.98,0.94,0.96,376,0,0,80,1252,222,13,1,48.47
102,11,2,0.955,0.02,0.017,0.483,0.0,0.0,359,13,4,0,0.98,0.95,0.97,376,0,0,80,1252,222,13,1,48.47
103,11,3,0.989,0.0,0.0,0.5,0.0,0.0,372,0,4,0,0.98,0.99,0.98,376,0,0,80,1252,222,13,1,48.47
104,11,4,0.989,0.349,0.329,0.624,0.499,0.231,371,1,3,1,0.99,0.99,0.99,376,0,0,80,1252,222,13,1,48.47
105,11,5,0.971,0.014,0.014,0.491,0.0,0.0,365,7,4,0,0.98,0.97,0.97,376,0,0,80,1252,222,13,1,48.47
106,11,6,0.989,0.0,0.0,0.5,0.0,0.0,372,0,4,0,0.98,0.99,0.98,376,0,0,80,1252,222,13,1,48.47
107,11,7,0.989,0.0,0.0,0.5,0.0,0.0,372,0,4,0,0.98,0.99,0.98,376,0,0,80,1252,222,13,1,48.47
108,11,8,0.984,0.008,0.007,0.497,0.0,0.0,370,2,4,0,0.98,0.98,0.98,376,0,0,80,1252,222,13,1,48.47
109,11,9,0.955,0.02,0.017,0.483,0.0,0.0,359,13,4,0,0.98,0.95,0.97,376,0,0,80,1252,222,13,1,48.47
110,12,0,0.699,0.154,0.046,0.848,0.834,0.717,259,113,0,4,0.99,0.7,0.81,376,0,0,80,1252,222,13,2,14.44
111,12,1,0.524,0.106,0.022,0.759,0.72,0.544,193,179,0,4,0.99,0.52,0.68,376,0,0,80,1252,222,13,2,14.44
112,12,2,0.686,0.013,0.004,0.47,0.416,0.165,257,115,3,1,0.98,0.69,0.8,376,0,0,80,1252,222,13,2,14.44
113,12,3,0.636,0.134,0.035,0.816,0.795,0.655,235,137,0,4,0.99,0.64,0.77,376,0,0,80,1252,222,13,2,14.44
114,12,4,0.593,0.122,0.03,0.794,0.767,0.613,219,153,0,4,0.99,0.59,0.73,376,0,0,80,1252,222,13,2,14.44
115,12,5,0.846,0.042,0.02,0.427,0.0,0.0,318,54,4,0,0.98,0.85,0.91,376,0,0,80,1252,222,13,2,14.44
116,12,6,0.609,0.127,0.032,0.802,0.778,0.629,225,147,0,4,0.99,0.61,0.75,376,0,0,80,1252,222,13,2,14.44
117,12,7,0.463,0.094,0.018,0.728,0.676,0.482,170,202,0,4,0.99,0.46,0.62,376,0,0,80,1252,222,13,2,14.44
118,12,8,0.566,0.116,0.027,0.781,0.75,0.586,209,163,0,4,0.99,0.57,0.71,376,0,0,80,1252,222,13,2,14.44
119,12,9,0.782,0.009,0.004,0.519,0.444,0.186,293,79,3,1,0.98,0.78,0.87,376,0,0,80,1252,222,13,2,14.44
120,13,0,0.691,0.151,0.045,0.844,0.83,0.71,256,116,0,4,0.99,0.69,0.81,376,0,0,80,1252,222,13,0,22.0
121,13,1,0.809,0.017,0.007,0.532,0.451,0.192,303,69,3,1,0.98,0.81,0.88,376,0,0,80,1252,222,13,0,22.0
122,13,2,0.976,0.012,0.012,0.493,0.0,0.0,367,5,4,0,0.98,0.98,0.98,376,0,0,80,1252,222,13,0,22.0
123,13,3,0.907,0.059,0.036,0.582,0.478,0.213,340,32,3,1,0.98,0.91,0.94,376,0,0,80,1252,222,13,0,22.0
124,13,4,0.989,0.0,0.0,0.5,0.0,0.0,372,0,4,0,0.98,0.99,0.98,376,0,0,80,1252,222,13,0,22.0
125,13,5,0.987,0.005,0.004,0.499,0.0,0.0,371,1,4,0,0.98,0.99,0.98,376,0,0,80,1252,222,13,0,22.0
126,13,6,0.979,0.011,0.011,0.495,0.0,0.0,368,4,4,0,0.98,0.98,0.98,376,0,0,80,1252,222,13,0,22.0
127,13,7,0.556,0.114,0.025,0.776,0.742,0.576,205,167,0,4,0.99,0.56,0.7,376,0,0,80,1252,222,13,0,22.0
128,13,8,0.989,0.0,0.0,0.5,0.0,0.0,372,0,4,0,0.98,0.99,0.98,376,0,0,80,1252,222,13,0,22.0
129,13,9,0.984,0.008,0.007,0.497,0.0,0.0,370,2,4,0,0.98,0.98,0.98,376,0,0,80,1252,222,13,0,22.0
130,14,0,0.747,0.173,0.058,0.872,0.863,0.764,277,95,0,4,0.99,0.75,0.85,376,0,2,40,1252,24976,13,1,42.67
131,14,1,0.875,0.042,0.022,0.566,0.469,0.207,328,44,3,1,0.98,0.88,0.92,376,0,2,40,1252,24976,13,1,42.67
132,14,2,0.864,0.037,0.018,0.56,0.467,0.204,324,48,3,1,0.98,0.86,0.92,376,0,2,40,1252,24976,13,1,42.67
133,14,3,0.968,0.015,0.014,0.489,0.0,0.0,364,8,4,0,0.98,0.97,0.97,376,0,2,40,1252,24976,13,1,42.67
134,14,4,0.965,0.016,0.015,0.488,0.0,0.0,363,9,4,0,0.98,0.97,0.97,376,0,2,40,1252,24976,13,1,42.67
135,14,5,0.947,0.022,0.017,0.478,0.0,0.0,356,16,4,0,0.98,0.95,0.96,376,0,2,40,1252,24976,13,1,42.67
136,14,6,0.968,0.144,0.13,0.613,0.494,0.226,363,9,3,1,0.98,0.97,0.97,376,0,2,40,1252,24976,13,1,42.67
137,14,7,0.989,0.0,0.0,0.5,0.0,0.0,372,0,4,0,0.98,0.99,0.98,376,0,2,40,1252,24976,13,1,42.67
138,14,8,0.931,0.176,0.117,0.718,0.684,0.447,348,24,2,2,0.98,0.93,0.96,376,0,2,40,1252,24976,13,1,42.67
139,14,9,0.941,0.091,0.067,0.599,0.487,0.221,353,19,3,1,0.98,0.94,0.96,376,0,2,40,1252,24976,13,1,42.67
140,15,0,0.753,0.176,0.06,0.875,0.866,0.769,279,93,0,4,0.99,0.75,0.85,376,0,2,40,1252,24976,13,1,41.42
141,15,1,0.848,0.101,0.047,0.676,0.653,0.411,317,55,2,2,0.98,0.85,0.91,376,0,2,40,1252,24976,13,1,41.42
142,15,2,0.854,0.032,0.016,0.555,0.464,0.202,320,52,3,1,0.98,0.85,0.91,376,0,2,40,1252,24976,13,1,41.42
143,15,3,0.979,0.011,0.011,0.495,0.0,0.0,368,4,4,0,0.98,0.98,0.98,376,0,2,40,1252,24976,13,1,41.42
144,15,4,0.968,0.015,0.014,0.489,0.0,0.0,364,8,4,0,0.98,0.97,0.97,376,0,2,40,1252,24976,13,1,41.42
145,15,5,0.973,0.164,0.155,0.616,0.495,0.227,365,7,3,1,0.98,0.97,0.98,376,0,2,40,1252,24976,13,1,41.42
146,15,6,0.965,0.016,0.015,0.488,0.0,0.0,363,9,4,0,0.98,0.97,0.97,376,0,2,40,1252,24976,13,1,41.42
147,15,7,0.981,0.214,0.213,0.62,0.497,0.229,368,4,3,1,0.98,0.98,0.98,376,0,2,40,1252,24976,13,1,41.42
148,15,8,0.941,0.091,0.067,0.599,0.487,0.221,353,19,3,1,0.98,0.94,0.96,376,0,2,40,1252,24976,13,1,41.42
149,15,9,0.947,0.098,0.075,0.602,0.488,0.222,355,17,3,1,0.98,0.95,0.96,376,0,2,40,1252,24976,13,1,41.42
150,16,0,0.691,0.151,0.045,0.844,0.83,0.71,256,116,0,4,0.99,0.69,0.81,376,0,2,40,1252,24976,13,2,19.54
151,16,1,0.774,0.128,0.047,0.762,0.762,0.579,288,84,1,3,0.99,0.77,0.86,376,0,2,40,1252,24976,13,2,19.54
152,16,2,0.755,0.177,0.061,0.876,0.868,0.771,280,92,0,4,0.99,0.76,0.85,376,0,2,40,1252,24976,13,2,19.54
153,16,3,0.609,0.127,0.032,0.802,0.778,0.629,225,147,0,4,0.99,0.61,0.75,376,0,2,40,1252,24976,13,2,19.54
154,16,4,0.609,0.127,0.032,0.802,0.778,0.629,225,147,0,4,0.99,0.61,0.75,376,0,2,40,1252,24976,13,2,19.54
155,16,5,0.848,0.03,0.014,0.552,0.462,0.201,318,54,3,1,0.98,0.85,0.91,376,0,2,40,1252,24976,13,2,19.54
156,16,6,0.609,0.127,0.032,0.802,0.778,0.629,225,147,0,4,0.99,0.61,0.75,376,0,2,40,1252,24976,13,2,19.54
157,16,7,0.777,0.054,0.021,0.392,0.0,0.0,292,80,4,0,0.98,0.78,0.86,376,0,2,40,1252,24976,13,2,19.54
158,16,8,0.641,0.135,0.036,0.819,0.798,0.66,237,135,0,4,0.99,0.64,0.77,376,0,2,40,1252,24976,13,2,19.54
159,16,9,0.681,0.04,0.012,0.591,0.584,0.335,254,118,2,2,0.98,0.68,0.8,376,0,2,40,1252,24976,13,2,19.54
160,17,0,0.859,0.04,0.02,0.434,0.0,0.0,323,49,4,0,0.98,0.86,0.91,376,0,2,40,1252,24976,13,0,19.23
161,17,1,0.864,0.039,0.02,0.437,0.0,0.0,325,47,4,0,0.98,0.86,0.92,376,0,2,40,1252,24976,13,0,19.23
162,17,2,0.891,0.034,0.02,0.45,0.0,0.0,335,37,4,0,0.98,0.89,0.93,376,0,2,40,1252,24976,13,0,19.23
163,17,3,0.936,0.085,0.06,0.597,0.486,0.22,351,21,3,1,0.98,0.94,0.96,376,0,2,40,1252,24976,13,0,19.23
164,17,4,0.987,0.005,0.004,0.499,0.0,0.0,371,1,4,0,0.98,0.99,0.98,376,0,2,40,1252,24976,13,0,19.23
165,17,5,0.987,0.282,0.279,0.622,0.499,0.23,370,2,3,1,0.98,0.99,0.99,376,0,2,40,1252,24976,13,0,19.23
166,17,6,0.989,0.0,0.0,0.5,0.0,0.0,372,0,4,0,0.98,0.99,0.98,376,0,2,40,1252,24976,13,0,19.23
167,17,7,0.739,0.114,0.038,0.745,0.745,0.555,275,97,1,3,0.99,0.74,0.84,376,0,2,40,1252,24976,13,0,19.23
168,17,8,0.989,0.0,0.0,0.5,0.0,0.0,372,0,4,0,0.98,0.99,0.98,376,0,2,40,1252,24976,13,0,19.23
169,17,9,0.987,0.282,0.279,0.622,0.499,0.23,370,2,3,1,0.98,0.99,0.99,376,0,2,40,1252,24976,13,0,19.23
170,18,0,0.734,0.168,0.055,0.866,0.855,0.751,272,100,0,4,0.99,0.73,0.84,376,0,2,80,1252,24976,13,1,60.34
171,18,1,0.928,0.172,0.113,0.716,0.683,0.446,347,25,2,2,0.98,0.93,0.95,376,0,2,80,1252,24976,13,1,60.34
172,18,2,0.886,0.047,0.026,0.571,0.472,0.209,332,40,3,1,0.98,0.89,0.93,376,0,2,80,1252,24976,13,1,60.34
173,18,3,0.976,0.012,0.012,0.493,0.0,0.0,367,5,4,0,0.98,0.98,0.98,376,0,2,80,1252,24976,13,1,60.34
174,18,4,0.981,0.009,0.009,0.496,0.0,0.0,369,3,4,0,0.98,0.98,0.98,376,0,2,80,1252,24976,13,1,60.34
175,18,5,0.981,0.009,0.009,0.496,0.0,0.0,369,3,4,0,0.98,0.98,0.98,376,0,2,80,1252,24976,13,1,60.34
176,18,6,0.984,0.008,0.007,0.497,0.0,0.0,370,2,4,0,0.98,0.98,0.98,376,0,2,80,1252,24976,13,1,60.34
177,18,7,0.984,0.008,0.007,0.497,0.0,0.0,370,2,4,0,0.98,0.98,0.98,376,0,2,80,1252,24976,13,1,60.34
178,18,8,0.952,0.107,0.084,0.605,0.49,0.223,357,15,3,1,0.98,0.95,0.97,376,0,2,80,1252,24976,13,1,60.34
179,18,9,0.952,0.22,0.167,0.728,0.692,0.457,356,16,2,2,0.99,0.95,0.97,376,0,2,80,1252,24976,13,1,60.34
180,19,0,0.734,0.168,0.055,0.866,0.855,0.751,272,100,0,4,0.99,0.73,0.84,376,0,2,80,1252,24976,13,1,54.46
181,19,1,0.902,0.056,0.033,0.579,0.477,0.212,338,34,3,1,0.98,0.9,0.94,376,0,2,80,1252,24976,13,1,54.46
182,19,2,0.83,0.157,0.067,0.79,0.789,0.618,309,63,1,3,0.99,0.83,0.9,376,0,2,80,1252,24976,13,1,54.46
183,19,3,0.984,0.008,0.007,0.497,0.0,0.0,370,2,4,0,0.98,0.98,0.98,376,0,2,80,1252,24976,13,1,54.46
184,19,4,0.981,0.214,0.213,0.62,0.497,0.229,368,4,3,1,0.98,0.98,0.98,376,0,2,80,1252,24976,13,1,54.46
185,19,5,0.976,0.012,0.012,0.493,0.0,0.0,367,5,4,0,0.98,0.98,0.98,376,0,2,80,1252,24976,13,1,54.46
186,19,6,0.987,0.005,0.004,0.499,0.0,0.0,371,1,4,0,0.98,0.99,0.98,376,0,2,80,1252,24976,13,1,54.46
187,19,7,0.987,0.005,0.004,0.499,0.0,0.0,371,1,4,0,0.98,0.99,0.98,376,0,2,80,1252,24976,13,1,54.46
188,19,8,0.947,0.022,0.017,0.478,0.0,0.0,356,16,4,0,0.98,0.95,0.96,376,0,2,80,1252,24976,13,1,54.46
189,19,9,0.952,0.107,0.084,0.605,0.49,0.223,357,15,3,1,0.98,0.95,0.97,376,0,2,80,1252,24976,13,1,54.46
190,20,0,0.684,0.149,0.043,0.84,0.825,0.702,253,119,0,4,0.99,0.68,0.8,376,0,2,80,1252,24976,13,2,20.19
191,20,1,0.742,0.115,0.039,0.746,0.746,0.557,276,96,1,3,0.99,0.74,0.84,376,0,2,80,1252,24976,13,2,20.19
192,20,2,0.729,0.053,0.018,0.616,0.605,0.357,272,100,2,2,0.98,0.73,0.83,376,0,2,80,1252,24976,13,2,20.19
193,20,3,0.62,0.129,0.033,0.808,0.785,0.639,229,143,0,4,0.99,0.62,0.75,376,0,2,80,1252,24976,13,2,20.19
194,20,4,0.609,0.127,0.032,0.802,0.778,0.629,225,147,0,4,0.99,0.61,0.75,376,0,2,80,1252,24976,13,2,20.19
